* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
301.025 3.559 9.247
301.392 3.560 9.300
301.758 3.561 9.352
302.124 3.562 9.402
302.490 3.562 9.453
302.856 3.563 9.503
303.223 3.564 9.555
303.589 3.565 9.607
303.955 3.566 9.659
304.321 3.567 9.710
304.688 3.568 9.761
305.054 3.568 9.812
305.420 3.569 9.865
305.786 3.570 9.917
306.152 3.571 9.969
306.519 3.572 10.020
306.885 3.573 10.071
307.251 3.574 10.123
307.617 3.575 10.175
307.983 3.576 10.227
308.350 3.577 10.277
308.716 3.579 10.327
309.082 3.580 10.376
309.448 3.581 10.425
309.814 3.582 10.476
310.181 3.583 10.528
310.547 3.584 10.578
310.913 3.585 10.626
311.279 3.586 10.673
311.646 3.588 10.719
312.012 3.588 10.766
312.378 3.589 10.815
312.744 3.591 10.865
313.110 3.592 10.915
313.477 3.593 10.963
313.843 3.594 11.009
314.209 3.595 11.056
314.575 3.597 11.102
314.941 3.598 11.149
315.308 3.599 11.196
315.674 3.600 11.242
316.040 3.601 11.288
316.406 3.603 11.334
316.772 3.604 11.381
317.139 3.605 11.427
317.505 3.606 11.474
317.871 3.608 11.519
318.237 3.609 11.564
318.604 3.610 11.608
318.970 3.612 11.651
319.336 3.613 11.695
319.702 3.614 11.738
320.068 3.615 11.781
320.435 3.616 11.824
320.801 3.618 11.868
321.167 3.619 11.911
321.533 3.620 11.954
321.899 3.621 11.997
322.266 3.622 12.041
322.632 3.623 12.085
322.998 3.624 12.129
323.364 3.625 12.174
323.730 3.626 12.219
324.097 3.627 12.265
324.463 3.628 12.311
324.829 3.630 12.358
325.195 3.631 12.404
325.562 3.632 12.449
325.928 3.633 12.493
326.294 3.634 12.537
326.660 3.636 12.582
327.026 3.637 12.629
327.393 3.638 12.678
327.759 3.639 12.727
328.125 3.641 12.774
328.491 3.642 12.819
328.857 3.643 12.863
329.224 3.645 12.906
329.590 3.646 12.951
329.956 3.647 12.998
330.322 3.648 13.045
330.688 3.649 13.092
331.055 3.651 13.138
331.421 3.652 13.184
331.787 3.654 13.229
332.153 3.655 13.274
332.520 3.656 13.319
332.886 3.658 13.363
333.252 3.659 13.407
333.618 3.661 13.451
333.984 3.662 13.495
334.351 3.664 13.538
334.717 3.665 13.580
335.083 3.667 13.621
335.449 3.668 13.663
335.815 3.669 13.706
336.182 3.671 13.751
336.548 3.672 13.796
336.914 3.674 13.841
337.280 3.676 13.884
337.646 3.677 13.925
338.013 3.679 13.966
338.379 3.680 14.008
338.745 3.682 14.052
339.111 3.683 14.096
339.478 3.685 14.139
339.844 3.687 14.180
340.210 3.688 14.220
340.576 3.690 14.259
340.942 3.691 14.300
341.309 3.693 14.342
341.675 3.694 14.386
342.041 3.696 14.429
342.407 3.697 14.471
342.773 3.699 14.511
343.140 3.700 14.551
343.506 3.702 14.592
343.872 3.703 14.634
344.238 3.705 14.677
344.604 3.707 14.720
344.971 3.709 14.761
345.337 3.710 14.799
345.703 3.712 14.838
346.069 3.713 14.876
346.436 3.715 14.917
346.802 3.716 14.958
347.168 3.718 15.000
347.534 3.720 15.043
347.900 3.721 15.084
348.267 3.723 15.125
348.633 3.725 15.166
348.999 3.726 15.207
349.365 3.728 15.248
349.731 3.730 15.287
350.098 3.732 15.326
350.464 3.733 15.365
350.830 3.735 15.406
351.196 3.736 15.448
351.562 3.738 15.491
351.929 3.740 15.534
352.295 3.742 15.575
352.661 3.744 15.614
353.027 3.746 15.652
353.394 3.747 15.691
353.760 3.749 15.732
354.126 3.751 15.773
354.492 3.753 15.813
354.858 3.755 15.853
355.225 3.757 15.890
355.591 3.758 15.927
355.957 3.760 15.965
356.323 3.762 16.005
356.689 3.764 16.045
357.056 3.766 16.085
357.422 3.768 16.123
357.788 3.769 16.160
358.154 3.771 16.198
358.521 3.773 16.236
358.887 3.775 16.276
359.253 3.777 16.315
359.619 3.779 16.352
359.985 3.781 16.389
360.352 3.783 16.426
360.718 3.785 16.464
361.084 3.786 16.504
361.450 3.788 16.545
361.816 3.791 16.585
362.183 3.793 16.622
362.549 3.795 16.657
362.915 3.797 16.691
363.281 3.799 16.726
363.647 3.800 16.764
364.014 3.802 16.802
364.380 3.804 16.840
364.746 3.806 16.877
365.112 3.808 16.913
365.479 3.810 16.950
